@RELATION featureTraining90NoEL

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 {4,5}

@DATA
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
1,1,0,0,0,5
1,1,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
2,2,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
2,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,1,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
1,1,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
2,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,5
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
1,2,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
1,1,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,2,0,0,0,5
2,0,0,0,0,5
0,0,0,0,0,5
0,2,0,0,0,5
1,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,4
0,0,0,0,0,5
2,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,4
0,0,0,0,0,5
0,2,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,2,0,0,0,5
1,1,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
1,1,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
0,2,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
2,1,0,0,0,5
0,2,0,0,0,5
2,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
2,1,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,5
1,0,0,0,0,5
0,2,0,0,0,4
0,0,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,4
1,2,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
2,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
2,0,0,0,0,5
1,1,0,0,0,5
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,3,0,0,0,5
0,2,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
3,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
1,2,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
3,0,0,0,0,5
1,0,0,0,0,5
1,2,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
2,0,0,0,0,5
2,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
1,2,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
1,1,0,0,0,4
1,2,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,3,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,2,0,0,0,5
1,0,0,0,0,4
2,0,0,0,0,5
0,0,0,0,0,5
0,3,0,0,0,5
0,2,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
2,2,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
2,0,0,0,0,5
2,0,0,0,0,4
2,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,5
2,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
2,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,5
2,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,5
2,0,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,4
2,0,0,0,0,5
2,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
1,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,2,0,0,0,5
0,2,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
1,2,0,0,0,5
1,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
2,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
2,0,0,0,0,5
0,0,0,0,0,5
0,2,0,0,0,5
1,1,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
2,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
1,1,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
2,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,1,0,0,0,5
2,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,4
0,1,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,4
3,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
1,1,0,0,0,4
0,0,0,0,0,5
2,0,0,0,0,4
1,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
3,2,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
3,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,4,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
0,1,0,0,0,5
0,1,0,0,0,5
1,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,4
1,1,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
2,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
1,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,2,0,0,0,5
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,1,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,4
1,0,0,0,0,4
2,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
1,0,0,0,0,4
0,0,0,0,0,4
0,1,0,0,0,5
0,0,0,0,0,4
0,1,0,0,0,5
1,0,0,0,0,4
1,1,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
1,0,0,0,0,5
0,0,0,0,0,4
0,2,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
0,1,0,0,0,5
0,2,0,0,0,5
0,0,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,1,0,0,0,5
0,0,0,0,0,4
0,0,0,0,0,5
0,0,0,0,0,5
1,0,0,0,0,4
